"","trans","Value","Std.Error","DF","t-value","p-value"
"Leadership comp.",1,0.0706,0.0297,15,2.376,0.0313
"l.all - l.mixed",1,0.0264518174056924,0.0336217104598172,18,0.786748117330501,0.859487889428755
"l.all - h.mixed",1,0.0498576380556782,0.0335023511987111,18,1.48818325495902,0.464560279638453
"l.all - h.all",1,0.0415948127722048,0.0290417651147384,18,1.43224120875132,0.496546729318616
"l.mixed - h.mixed",1,0.0234058206499858,0.0262301771497083,18,0.892324154594821,0.808878033982446
"l.mixed - h.all",1,0.0151429953665124,0.0311944472738208,18,0.485438810105824,0.961351062660206
"h.mixed - h.all",1,-0.00826282528347339,0.0313040087254455,18,-0.26395422247493,0.993329293875082
"Mass comp. homogeneity",-0.6,0.0137,0.0258,14,0.5312,0.6036
"Homogeneity",1.1,-0.0018,0.0215,35,-0.0837,0.9338
"Homogeneity (sub followers)",0.9,0.0017,0.0213,35,0.0807,0.9361
"Leadership comp.",1,-0.0801,0.0358,15,2.2369,0.0409
"l.all - l.mixed",1,0.0578732986698649,0.0340497713189409,18,-1.69966776363258,0.352541244043656
"l.all - h.mixed",1,0.0904522620744536,0.03398077831648,18,-2.66186551797096,0.0690070444138697
"l.all - h.all",1,0.0270700189425062,0.0302359668349858,18,-0.895291990834696,0.807364394576257
"l.mixed - h.mixed",1,0.0325789634045887,0.0270976912650573,18,-1.20227819727947,0.633283987385336
"l.mixed - h.all",1,-0.0308032797273587,0.0314242870109585,18,0.980237983334888,0.762255659185909
"h.mixed - h.all",1,-0.0633822431319473,0.0315896883425886,18,2.00642191985467,0.22230264467587
"Mass comp. homogeneity",0.1,0.0581,0.0257,14,-2.2609,0.0402
"Homogeneity",0.5,0.0122,0.0074,35,-1.6487,0.1082
"Homogeneity (sub followers)",0.1,0.0029,0.0014,35,-2.0796,0.045
