"","fis.dist","minflight.prop","Lead comp.","Mass comp.","Training","All"
"Flock stasis","25","0.1","0.000225","0.006291","0.00456","0"
"Flock spread","25","0.1",NA,NA,NA,NA
"Best model","25","0.1","1var","1var","1var","1var"
"Flock stasis","50","0.05","1e-06","0.033475","0.030731","0"
"Dorso-ventral spread","50","0.05",NA,NA,NA,"6e-04"
"Best model","50","0.05","1var","1var","1var","sum"
"Flock stasis","50","0.1","0.000237","0.045256","0.035286","0"
"Dorso-ventral spread","50","0.1",NA,NA,NA,"0.0069"
"Best model","50","0.1","1var","1var","1var","sum"
"Dorso-ventral spread","50","0.25","0.004255","0.042596","0.312786","0.0029"
"Flock stasis","50","0.25",NA,NA,NA,"6e-04"
"Best model","50","0.25","1var","1var","1var","sum"
"Flock stasis","75","0.1","0.000235","0.020056","0.036987","0"
"Dorso-ventral spread","75","0.1",NA,NA,NA,"0.0048"
"Best model","75","0.1","1var","1var","1var","sum"
