"","trans","Value","Std.Error","DF","t.value","p.value","conditions","fis.dist","minflight.prop","comparison"
"Leadership comp.",0.1,0.037,0.0154,16,2.3936,0.0293,"fis-dist=25minflight-prop=0.1","25","0.1","Leadership comp."
"l.all - l.mixed",1,0.355412613083324,0.169914769131973,18,2.09171112610744,0.193371345758527,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - l.mixed"
"l.all - h.mixed",1,0.557549862425641,0.170136560299179,18,3.2770726141707,0.0198969073410203,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - h.mixed"
"l.all - h.all",1,0.14989355454806,0.158482963433356,18,0.945802320330108,0.780935667909327,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - h.all"
"l.mixed - h.mixed",1,0.202137249342317,0.142927962341194,18,1.4142596454274,0.50698607423023,"fis-dist=25minflight-prop=0.1","25","0.1","l.mixed - h.mixed"
"l.mixed - h.all",1,-0.205519058535264,0.164892910897524,18,-1.24637898267796,0.606800454357492,"fis-dist=25minflight-prop=0.1","25","0.1","l.mixed - h.all"
"h.mixed - h.all",1,-0.407656307877581,0.166895681747471,18,-2.44258151924148,0.104415013755859,"fis-dist=25minflight-prop=0.1","25","0.1","h.mixed - h.all"
"Mass comp. homogeneity",0.8,0.3755,0.1314,14,2.8584,0.0126,"fis-dist=25minflight-prop=0.1","25","0.1","Mass comp. homogeneity"
"Homogeneity",1.2,0.0397,0.0253,35,1.5651,0.1265,"fis-dist=25minflight-prop=0.1","25","0.1","Homogeneity"
"Homogeneity (sub followers)",1.2,0.0518,0.0232,35,2.2306,0.0322,"fis-dist=25minflight-prop=0.1","25","0.1","Homogeneity (sub followers)"
"Leadership comp.1",-0.2,-0.084,0.0334,23,-2.5118,0.0195,"fis-dist=50minflight-prop=0.05","50","0.05","Leadership comp."
"l.all - l.mixed1",1,0.0325820873766737,0.0313125252939328,21,1.04054486410225,0.728040224964384,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - l.mixed"
"l.all - h.mixed1",1,0.0742629306123359,0.031241643028737,21,2.37704945748297,0.112671351179555,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - h.mixed"
"l.all - h.all1",1,0.0165512473237046,0.0300099337986953,21,0.551525619307571,0.94510059511908,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - h.all"
"l.mixed - h.mixed1",1,0.0416808432356622,0.0277484246945753,21,1.50209763957558,0.453965930777122,"fis-dist=50minflight-prop=0.05","50","0.05","l.mixed - h.mixed"
"l.mixed - h.all1",1,-0.0160308400529691,0.0318647024205829,21,-0.503090844577103,0.957443408804669,"fis-dist=50minflight-prop=0.05","50","0.05","l.mixed - h.all"
